,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
135,Obs,14,2020-03-31,5211909,JATAÍ,2,NA,NA,NA,NA
136,Obs,7,2020-03-31,5212501,LUZIÂNIA,1,NA,NA,NA,NA
137,Obs,1,2020-03-31,5216304,PARANAIGUARA,1,NA,NA,NA,NA
138,Obs,14,2020-03-31,5218805,RIO VERDE,7,NA,NA,NA,NA
139,Obs,7,2020-03-31,5220603,SILVÂNIA,1,NA,NA,NA,NA
140,Obs,8,2020-03-31,5221858,VALPARAÍSO DE GOIÁS,3,NA,NA,NA,NA
141,Obs,14,2020-03-31,5300108,BRASÍLIA,317,NA,NA,NA,NA
142,Obs,15,2020-04-01,52,GOIÁS,73,NA,NA,NA,NA
143,Obs,5,2020-04-01,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
144,Obs,15,2020-04-01,5201108,ANÁPOLIS,4,NA,NA,NA,NA
145,Obs,15,2020-04-01,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
146,Obs,1,2020-04-01,5204508,CALDAS NOVAS,1,NA,NA,NA,NA
147,Obs,1,2020-04-01,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
148,Obs,11,2020-04-01,5205109,CATALÃO,1,NA,NA,NA,NA
149,Obs,1,2020-04-01,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
150,Obs,5,2020-04-01,5208608,GOIANÉSIA,1,NA,NA,NA,NA
151,Obs,15,2020-04-01,5208707,GOIÂNIA,42,NA,NA,NA,NA
152,Obs,3,2020-04-01,5211503,ITUMBIARA,2,NA,NA,NA,NA
153,Obs,15,2020-04-01,5211909,JATAÍ,2,NA,NA,NA,NA
154,Obs,8,2020-04-01,5212501,LUZIÂNIA,1,NA,NA,NA,NA
155,Obs,2,2020-04-01,5216304,PARANAIGUARA,1,NA,NA,NA,NA
156,Obs,15,2020-04-01,5218805,RIO VERDE,7,NA,NA,NA,NA
157,Obs,8,2020-04-01,5220603,SILVÂNIA,1,NA,NA,NA,NA
158,Obs,1,2020-04-01,5221403,TRINDADE,1,NA,NA,NA,NA
159,Obs,9,2020-04-01,5221858,VALPARAÍSO DE GOIÁS,4,NA,NA,NA,NA
160,Obs,15,2020-04-01,5300108,BRASÍLIA,370,NA,NA,NA,NA
161,Obs,16,2020-04-02,52,GOIÁS,73,NA,NA,NA,NA
162,Obs,6,2020-04-02,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
163,Obs,16,2020-04-02,5201108,ANÁPOLIS,4,NA,NA,NA,NA
164,Obs,16,2020-04-02,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
165,Obs,2,2020-04-02,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
166,Obs,12,2020-04-02,5205109,CATALÃO,1,NA,NA,NA,NA
167,Obs,2,2020-04-02,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
168,Obs,6,2020-04-02,5208608,GOIANÉSIA,1,NA,NA,NA,NA
169,Obs,16,2020-04-02,5208707,GOIÂNIA,43,NA,NA,NA,NA
